candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage1_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage1_roc_auc_fold_std,stage1_balanced_accuracy,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,matched_base_flat_f1,delta_flat_f1_vs_matched_base,stage1_move_f1,stage1_brier_score
futures_core+futures_smallcap+rates_credit+technical_dynamics+volatility_options_short,futures_core|futures_smallcap|rates_credit|technical_dynamics|volatility_options_short,5,82,824,2017-07-18,2020-10-26,0.6238398820366035,0.528178940064186,0.09566094197241748,0.04013243977320899,0.610655737704918,0.5526315789473685,0.5,0.525,0.4484848484848485,0.07651515151515154,0.6984126984126984,0.2445279159051646
futures_core+futures_smallcap,futures_core|futures_smallcap,2,39,824,2017-07-18,2020-10-26,0.5984799202012316,0.528178940064186,0.07030098013704567,0.011562422056715167,0.5814467863648192,0.49814126394052044,0.5317460317460317,0.5143953934740882,0.4484848484848485,0.06591054498923976,0.6461538461538462,0.24357644034369166
breadth+futures_smallcap+technical_dynamics+trend_direction,breadth|futures_smallcap|technical_dynamics|trend_direction,4,83,824,2017-07-18,2020-10-26,0.5964524243212768,0.528178940064186,0.06827348425709079,0.02419645100092333,0.5739005984907624,0.496,0.49206349206349204,0.4940239043824701,0.4484848484848485,0.04553905589762164,0.6539509536784741,0.24295735726909506
calendar+futures_smallcap+interaction_consensus+rates_credit,calendar|futures_smallcap|interaction_consensus|rates_credit,4,66,824,2017-07-18,2020-10-26,0.5943273484257091,0.528178940064186,0.06614840836152314,0.05046150618296728,0.578064012490242,0.4864864864864865,0.5714285714285714,0.5255474452554745,0.4484848484848485,0.07706259677062599,0.622093023255814,0.2492708601434292
futures_core+futures_smallcap+technical_dynamics+volatility_options_short,futures_core|futures_smallcap|technical_dynamics|volatility_options_short,4,66,824,2017-07-18,2020-10-26,0.585490935900772,0.528178940064186,0.05731199583658597,0.03297210863723063,0.5765677855841791,0.5226130653266332,0.4126984126984127,0.4611973392461197,0.4484848484848485,0.012712490761271233,0.6904458598726114,0.2534989991343202
equity_rotation+futures_smallcap+interaction_consensus+rates_credit,equity_rotation|futures_smallcap|interaction_consensus|rates_credit,4,67,824,2017-07-18,2020-10-26,0.5854692514528581,0.528178940064186,0.05729031138867213,0.008866523750694766,0.5857403070517824,0.49032258064516127,0.6031746031746031,0.5409252669039146,0.4484848484848485,0.09244041841906614,0.6172106824925816,0.2548191676237164
breadth+calendar+equity_rotation+flat_regime_state+futures_core+futures_smallcap+interaction_consensus+macro_cross_asset+rates_credit+technical_dynamics+trend_direction+volatility_options_core+volatility_options_short,breadth|calendar|equity_rotation|flat_regime_state|futures_core|futures_smallcap|interaction_consensus|macro_cross_asset|rates_credit|technical_dynamics|trend_direction|volatility_options_core|volatility_options_short,13,201,746,2017-07-18,2020-10-26,0.5731658692185008,0.517278043593833,0.055887825624667764,0.028611151174560236,0.5667862838915471,0.4951923076923077,0.4517543859649123,0.4724770642201835,0.4391304347826087,0.03334662943757477,0.6617647058823529,0.2551703656518831
breadth+futures_core+futures_smallcap+interaction_consensus+trend_direction,breadth|futures_core|futures_smallcap|interaction_consensus|trend_direction,5,84,824,2017-07-18,2020-10-26,0.5839188134270101,0.528178940064186,0.055739873362824155,0.06033149783585284,0.5707455113192819,0.518324607329843,0.39285714285714285,0.4469525959367946,0.4484848484848485,-0.0015322525480538918,0.691046658259773,0.24418767234690816
futures_smallcap+interaction_consensus+rates_credit+technical_dynamics+volatility_options_short,futures_smallcap|interaction_consensus|rates_credit|technical_dynamics|volatility_options_short,5,84,824,2017-07-18,2020-10-26,0.5828671177031832,0.528178940064186,0.05468817763899725,0.049441791492065554,0.5822924798334634,0.4930555555555556,0.5634920634920635,0.5259259259259259,0.4484848484848485,0.07744107744107742,0.632183908045977,0.2556646219079791
futures_smallcap+interaction_consensus+rates_credit+technical_dynamics,futures_smallcap|interaction_consensus|rates_credit|technical_dynamics,4,78,824,2017-07-18,2020-10-26,0.5823358487292913,0.528178940064186,0.05415690866510536,0.02638215327643145,0.5609224564142596,0.4951923076923077,0.4087301587301587,0.44782608695652176,0.4484848484848485,-0.0006587615283267234,0.6726804123711341,0.2486871932924249
futures_smallcap+interaction_consensus+rates_credit+technical_dynamics+volatility_options_core,futures_smallcap|interaction_consensus|rates_credit|technical_dynamics|volatility_options_core,5,92,786,2017-07-18,2020-10-26,0.6033150503284914,0.5495268519076608,0.0537881984208306,0.02813346486568421,0.5988487734313785,0.503731343283582,0.574468085106383,0.536779324055666,0.4612159329140461,0.07556339114161986,0.6537890044576523,0.25903218192277283
equity_rotation+futures_core+futures_smallcap+volatility_options_short,equity_rotation|futures_core|futures_smallcap|volatility_options_short,4,55,824,2017-07-18,2020-10-26,0.5815768930523029,0.528178940064186,0.05339795298811689,0.01971674578631535,0.6046057767369243,0.5098039215686274,0.6190476190476191,0.5591397849462365,0.4484848484848485,0.11065493646138802,0.6371681415929203,0.2530117217602069
futures_core+futures_smallcap+interaction_consensus+trend_direction,futures_core|futures_smallcap|interaction_consensus|trend_direction,4,69,824,2017-07-18,2020-10-26,0.5762208344175558,0.528178940064186,0.04804189435336981,0.022891610422943357,0.5593611761644548,0.47388059701492535,0.503968253968254,0.48846153846153845,0.4484848484848485,0.03997668997668996,0.6284916201117319,0.24637797006393608
equity_rotation+futures_smallcap+interaction_consensus+trend_direction,equity_rotation|futures_smallcap|interaction_consensus|trend_direction,4,69,824,2017-07-18,2020-10-26,0.5750607164541591,0.528178940064186,0.04688177638997315,0.03648402265151964,0.5524004683840749,0.49714285714285716,0.34523809523809523,0.40749414519906324,0.4484848484848485,-0.040990703285785246,0.6872682323856613,0.24587026976993692
equity_rotation+futures_smallcap,equity_rotation|futures_smallcap,2,39,824,2017-07-18,2020-10-26,0.5733151183970857,0.528178940064186,0.045136178332899735,0.01892907384904278,0.5668423106947698,0.49159663865546216,0.4642857142857143,0.4775510204081633,0.4484848484848485,0.029066171923314787,0.6568364611260054,0.24866365807705268
futures_smallcap+interaction_consensus+trend_direction+volatility_options_core,futures_smallcap|interaction_consensus|trend_direction|volatility_options_core,4,73,786,2017-07-18,2020-10-26,0.594153456693388,0.5495268519076608,0.04462660478572722,0.026582355724455047,0.5796938098969321,0.4881889763779528,0.5276595744680851,0.5071574642126789,0.4612159329140461,0.04594153129863282,0.6491994177583698,0.2579103079698073
breadth+equity_rotation+futures_smallcap+rates_credit,breadth|equity_rotation|futures_smallcap|rates_credit,4,70,824,2017-07-18,2020-10-26,0.5727296383034088,0.528178940064186,0.04455069823922286,0.017751787329840053,0.5627114233671611,0.47761194029850745,0.5079365079365079,0.49230769230769234,0.4484848484848485,0.04382284382284385,0.6312849162011173,0.2558797543444931
breadth+futures_smallcap+macro_cross_asset+technical_dynamics+trend_direction,breadth|futures_smallcap|macro_cross_asset|technical_dynamics|trend_direction,5,91,820,2017-07-18,2020-10-26,0.5790465753424658,0.5347506849315069,0.04429589041095894,0.04195332663010456,0.5741095890410959,0.4856115107913669,0.54,0.5113636363636364,0.45,0.06136363636363634,0.6324786324786325,0.2690619700310647
calendar+futures_smallcap+interaction_consensus+rates_credit+technical_dynamics,calendar|futures_smallcap|interaction_consensus|rates_credit|technical_dynamics,5,87,824,2017-07-18,2020-10-26,0.5721224737618181,0.528178940064186,0.04394353369763215,0.03887946847006938,0.5613778298204528,0.4608695652173913,0.6309523809523809,0.5326633165829145,0.4484848484848485,0.08417846809806606,0.5633802816901409,0.25605413581395947
calendar+futures_smallcap+technical_dynamics+volatility_options_short,calendar|futures_smallcap|technical_dynamics|volatility_options_short,4,65,824,2017-07-18,2020-10-26,0.5719923670743343,0.528178940064186,0.04381342701014834,0.013324842416500633,0.5629716367421286,0.4806201550387597,0.49206349206349204,0.48627450980392156,0.4484848484848485,0.037789661319073076,0.6391184573002755,0.25252090335974664
futures_smallcap+technical_dynamics+volatility_options_short,futures_smallcap|technical_dynamics|volatility_options_short,3,56,824,2017-07-18,2020-10-26,0.5719273137305924,0.528178940064186,0.04374837366640638,0.02517607567645345,0.5596213895394223,0.47674418604651164,0.4880952380952381,0.4823529411764706,0.4484848484848485,0.03386809269162211,0.6363636363636364,0.2474730946527053
breadth+futures_smallcap+technical_dynamics+volatility_options_core,breadth|futures_smallcap|technical_dynamics|volatility_options_core,4,79,786,2017-07-18,2020-10-26,0.5928274365619914,0.5495268519076608,0.04330058465433062,0.02370667816772503,0.56762099933699,0.4808510638297872,0.4808510638297872,0.4808510638297872,0.4612159329140461,0.019635130915741095,0.6543909348441926,0.26172282542090136
breadth+futures_smallcap+technical_dynamics+trend_direction+volatility_options_core,breadth|futures_smallcap|technical_dynamics|trend_direction|volatility_options_core,5,97,786,2017-07-18,2020-10-26,0.5917063468145379,0.5495268519076608,0.04217949490687711,0.04633294709550806,0.5925260683503104,0.48253968253968255,0.6468085106382979,0.5527272727272727,0.4612159329140461,0.09151133981322662,0.6070287539936102,0.26016042631240266
equity_rotation+futures_smallcap+rates_credit,equity_rotation|futures_smallcap|rates_credit,3,55,824,2017-07-18,2020-10-26,0.5695962355798421,0.528178940064186,0.041417295515656094,0.030845123998229692,0.5694444444444444,0.4680232558139535,0.6388888888888888,0.540268456375839,0.4484848484848485,0.09178360789099049,0.571875,0.25201102596248276
futures_smallcap+interaction_consensus+rates_credit+technical_dynamics+trend_direction,futures_smallcap|interaction_consensus|rates_credit|technical_dynamics|trend_direction,5,96,824,2017-07-18,2020-10-26,0.5673952641165756,0.528178940064186,0.03921632405238962,0.019494330914938737,0.5664519906323185,0.48616600790513836,0.4880952380952381,0.4871287128712871,0.4484848484848485,0.03864386438643863,0.6456908344733242,0.25284312947437426
breadth+equity_rotation+futures_smallcap+interaction_consensus+rates_credit,breadth|equity_rotation|futures_smallcap|interaction_consensus|rates_credit,5,82,824,2017-07-18,2020-10-26,0.5669398907103825,0.528178940064186,0.03876095064619656,0.026760436825427645,0.5555230288836847,0.47126436781609193,0.4880952380952381,0.47953216374269003,0.4484848484848485,0.031047315257841546,0.6307053941908713,0.2525241011880613
futures_smallcap+rates_credit+technical_dynamics+trend_direction,futures_smallcap|rates_credit|technical_dynamics|trend_direction,4,84,824,2017-07-18,2020-10-26,0.5664628328562755,0.528178940064186,0.03828389279208955,0.059310105114433694,0.5595238095238095,0.4830508474576271,0.4523809523809524,0.4672131147540984,0.4484848484848485,0.018728266269249894,0.6524064171122995,0.2461402915251954
breadth+futures_smallcap+macro_cross_asset+technical_dynamics,breadth|futures_smallcap|macro_cross_asset|technical_dynamics,4,73,820,2017-07-18,2020-10-26,0.5729315068493152,0.5347506849315069,0.03818082191780825,0.012695856908794,0.5581917808219179,0.46464646464646464,0.552,0.5045703839122486,0.45,0.05457038391224861,0.6032210834553441,0.25816689494611633
equity_rotation+futures_smallcap+interaction_consensus+rates_credit+volatility_options_core,equity_rotation|futures_smallcap|interaction_consensus|rates_credit|volatility_options_core,5,81,786,2017-07-18,2020-10-26,0.5874148634802002,0.5495268519076608,0.037888011572539404,0.04496972315090449,0.5683925019588933,0.46689895470383275,0.5702127659574469,0.5134099616858238,0.4612159329140461,0.052194028771777645,0.6116207951070336,0.25593340198386694
futures_smallcap+interaction_consensus,futures_smallcap|interaction_consensus,2,41,824,2017-07-18,2020-10-26,0.5658231416428139,0.528178940064186,0.03764420157862791,0.02660968403384847,0.5644678636481916,0.48412698412698413,0.48412698412698413,0.48412698412698413,0.4484848484848485,0.03564213564213564,0.644808743169399,0.26096629745064964
futures_smallcap+rates_credit+technical_dynamics,futures_smallcap|rates_credit|technical_dynamics,3,66,824,2017-07-18,2020-10-26,0.565747246075115,0.528178940064186,0.037568306010928976,0.04927157710688399,0.5748763986468906,0.49242424242424243,0.5158730158730159,0.5038759689922481,0.4484848484848485,0.05539112050739958,0.6444444444444445,0.2597789922709498
calendar+futures_smallcap+interaction_consensus+rates_credit+trend_direction,calendar|futures_smallcap|interaction_consensus|rates_credit|trend_direction,5,84,824,2017-07-18,2020-10-26,0.5653460837887068,0.528178940064186,0.03716714372452079,0.06306532442785698,0.5534413218839448,0.47478991596638653,0.44841269841269843,0.46122448979591835,0.4484848484848485,0.01273964131106986,0.646112600536193,0.25202176628038836
futures_smallcap+interaction_consensus+macro_cross_asset+rates_credit+technical_dynamics,futures_smallcap|interaction_consensus|macro_cross_asset|rates_credit|technical_dynamics,5,86,820,2017-07-18,2020-10-26,0.571890410958904,0.5347506849315069,0.037139726027397124,0.01980896211056734,0.5625205479452056,0.47183098591549294,0.536,0.50187265917603,0.45,0.051872659176029956,0.617816091954023,0.2569037502243285
futures_core+futures_smallcap+technical_dynamics+trend_direction+volatility_options_short,futures_core|futures_smallcap|technical_dynamics|trend_direction|volatility_options_short,5,84,824,2017-07-18,2020-10-26,0.5650425015179114,0.528178940064186,0.03686356145372538,0.037199845237108155,0.5734126984126984,0.49794238683127573,0.4801587301587302,0.4888888888888889,0.4484848484848485,0.04040404040404039,0.6585695006747638,0.2601172551159738
equity_rotation+flat_regime_state+futures_core+futures_smallcap,equity_rotation|flat_regime_state|futures_core|futures_smallcap,4,82,782,2017-07-18,2020-10-26,0.5731151964918199,0.5366479531600126,0.036467243331807286,0.04158824067319892,0.5717538491193408,0.5503355704697986,0.33884297520661155,0.4194373401534527,0.4826254826254826,-0.06318814247202992,0.7086007702182285,0.25372656368994617
breadth+futures_smallcap+interaction_consensus+rates_credit,breadth|futures_smallcap|interaction_consensus|rates_credit,4,72,824,2017-07-18,2020-10-26,0.5644028103044496,0.528178940064186,0.036223870240263634,0.06579738442712053,0.5729898516783762,0.4842105263157895,0.5476190476190477,0.5139664804469274,0.4484848484848485,0.0654816319620789,0.6266094420600858,0.25465589301512775
calendar+futures_smallcap+interaction_consensus+trend_direction,calendar|futures_smallcap|interaction_consensus|trend_direction,4,68,824,2017-07-18,2020-10-26,0.5641100702576112,0.528178940064186,0.0359311301934252,0.057598508418569935,0.5549375487900078,0.47844827586206895,0.44047619047619047,0.45867768595041325,0.4484848484848485,0.010192837465564764,0.651595744680851,0.2640501217280838
breadth+calendar+futures_smallcap+technical_dynamics+trend_direction,breadth|calendar|futures_smallcap|technical_dynamics|trend_direction,5,92,824,2017-07-18,2020-10-26,0.5640775435857402,0.528178940064186,0.03589860352155427,0.08149192423902947,0.560271922976841,0.46130952380952384,0.6150793650793651,0.5272108843537415,0.4484848484848485,0.07872603586889304,0.5709876543209876,0.25690579791193574
futures_smallcap+interaction_consensus+rates_credit,futures_smallcap|interaction_consensus|rates_credit,3,57,824,2017-07-18,2020-10-26,0.5635029057160206,0.528178940064186,0.0353239656518346,0.04392780437385245,0.562809003382774,0.5080213903743316,0.376984126984127,0.4328018223234624,0.4484848484848485,-0.01568302616138606,0.6875784190715182,0.25350042053145017
flat_regime_state+futures_core+futures_smallcap+technical_dynamics+volatility_options_short,flat_regime_state|futures_core|futures_smallcap|technical_dynamics|volatility_options_short,5,99,782,2017-07-18,2020-10-26,0.5718261330506228,0.5366479531600126,0.03517817989061023,0.03189014800749518,0.562814736284124,0.4782608695652174,0.5454545454545454,0.5096525096525096,0.4826254826254826,0.02702702702702703,0.6104294478527608,0.25111487407430233
futures_core+futures_smallcap+interaction_consensus+rates_credit+technical_dynamics,futures_core|futures_smallcap|interaction_consensus|rates_credit|technical_dynamics,5,88,824,2017-07-18,2020-10-26,0.5633077456847948,0.528178940064186,0.03512880562060883,0.06340745868780229,0.570647931303669,0.4852941176470588,0.5238095238095238,0.5038167938931297,0.4484848484848485,0.055331945408281236,0.6348314606741573,0.25438072821955005
equity_rotation+futures_core+futures_smallcap,equity_rotation|futures_core|futures_smallcap,3,49,824,2017-07-18,2020-10-26,0.5631125856535693,0.528178940064186,0.03493364558938328,0.035192359881767006,0.5547749154306532,0.5093167701863354,0.3253968253968254,0.39709443099273606,0.4484848484848485,-0.05139041749211243,0.6974483596597812,0.2555534920927205
futures_smallcap+interaction_consensus+technical_dynamics+volatility_options_short,futures_smallcap|interaction_consensus|technical_dynamics|volatility_options_short,4,68,824,2017-07-18,2020-10-26,0.5628740567265157,0.528178940064186,0.03469511666232972,0.005137502491635086,0.5501236013531096,0.4554140127388535,0.5674603174603174,0.5053003533568905,0.4484848484848485,0.05681550487204201,0.582089552238806,0.25814503776931297
futures_smallcap+interaction_consensus+trend_direction,futures_smallcap|interaction_consensus|trend_direction,3,59,824,2017-07-18,2020-10-26,0.5627114233671611,0.528178940064186,0.03453248330297509,0.08416762777509001,0.5571168358053604,0.4693140794223827,0.5158730158730159,0.4914933837429111,0.4484848484848485,0.04300853525806264,0.6195190947666195,0.26639991261148405
equity_rotation+flat_regime_state+futures_smallcap,equity_rotation|flat_regime_state|futures_smallcap,3,72,782,2017-07-18,2020-10-26,0.5705370696094259,0.5366479531600126,0.03388911644941328,0.04109979787922204,0.5613449630147218,0.4838709677419355,0.49586776859504134,0.4897959183673469,0.4826254826254826,0.007170435741864323,0.6323529411764706,0.25638279443783557
calendar+futures_core+futures_smallcap+technical_dynamics+volatility_options_short,calendar|futures_core|futures_smallcap|technical_dynamics|volatility_options_short,5,75,824,2017-07-18,2020-10-26,0.5613995142683668,0.528178940064186,0.033220574204180786,0.06187021449756568,0.5662893572729638,0.5164835164835165,0.373015873015873,0.43317972350230416,0.4484848484848485,-0.015305124982544327,0.6932668329177057,0.25684456926634747
breadth+futures_smallcap+technical_dynamics,breadth|futures_smallcap|technical_dynamics,3,65,824,2017-07-18,2020-10-26,0.560759823054905,0.528178940064186,0.03258088299071904,0.05112460794007526,0.5699648711943794,0.4722222222222222,0.6071428571428571,0.53125,0.4484848484848485,0.08276515151515151,0.5909090909090909,0.25633843554658864
calendar+futures_smallcap+trend_direction,calendar|futures_smallcap|trend_direction,3,56,824,2017-07-18,2020-10-26,0.560304449648712,0.528178940064186,0.03212550958452598,0.07246720727385898,0.5496031746031746,0.45209580838323354,0.5992063492063492,0.515358361774744,0.4484848484848485,0.06687351328989555,0.563076923076923,0.25676367910714903
equity_rotation+futures_smallcap+interaction_consensus+rates_credit+technical_dynamics,equity_rotation|futures_smallcap|interaction_consensus|rates_credit|technical_dynamics,5,88,824,2017-07-18,2020-10-26,0.5599032873623038,0.528178940064186,0.031724347298117794,0.05903952030786802,0.5637197501951601,0.46089385474860334,0.6547619047619048,0.5409836065573771,0.4484848484848485,0.09249875807252861,0.5527156549520766,0.2538551045518952
breadth+calendar+futures_smallcap,breadth|calendar|futures_smallcap,3,53,824,2017-07-18,2020-10-26,0.5595888628675514,0.528178940064186,0.03140992280336541,0.0444479453831597,0.5436833203226645,0.472636815920398,0.376984126984127,0.4194260485651214,0.4484848484848485,-0.029058799919727096,0.6641123882503193,0.2528738200034079
breadth+futures_core+futures_smallcap+technical_dynamics+volatility_options_short,breadth|futures_core|futures_smallcap|technical_dynamics|volatility_options_short,5,81,824,2017-07-18,2020-10-26,0.5594804406279816,0.528178940064186,0.03130150056379566,0.048059026720349604,0.5478792609940151,0.4727272727272727,0.4126984126984127,0.4406779661016949,0.4484848484848485,-0.007806882383153579,0.6544502617801047,0.2545627099716224
futures_core+futures_smallcap+interaction_consensus+rates_credit,futures_core|futures_smallcap|interaction_consensus|rates_credit,4,67,824,2017-07-18,2020-10-26,0.5591551739092722,0.528178940064186,0.030976233845086187,0.03330433057872289,0.5481069476971117,0.46835443037974683,0.44047619047619047,0.4539877300613497,0.4484848484848485,0.005502881576501195,0.642570281124498,0.26269203107230565
flat_regime_state+futures_smallcap+interaction_consensus+rates_credit,flat_regime_state|futures_smallcap|interaction_consensus|rates_credit,4,90,782,2017-07-18,2020-10-26,0.5674890971736982,0.5366479531600126,0.03084114401368565,0.026746769672499365,0.5602305857407899,0.5,0.4090909090909091,0.45,0.4826254826254826,-0.032625482625482594,0.6684931506849315,0.258398629399982
futures_smallcap+technical_dynamics,futures_smallcap|technical_dynamics,2,50,824,2017-07-18,2020-10-26,0.5581251626333593,0.528178940064186,0.029946222569173342,0.041389242042619095,0.5582552693208431,0.4749034749034749,0.4880952380952381,0.48140900195694714,0.4484848484848485,0.03292415347209865,0.6344827586206897,0.24962724426045227
calendar+futures_smallcap,calendar|futures_smallcap,2,38,824,2017-07-18,2020-10-26,0.55779989591465,0.528178940064186,0.02962095585046398,0.03990043649447181,0.5552953421805881,0.47540983606557374,0.4603174603174603,0.46774193548387094,0.4484848484848485,0.019257086999022455,0.6432432432432432,0.26450254403901724
calendar+flat_regime_state+futures_smallcap,calendar|flat_regime_state|futures_smallcap,3,71,782,2017-07-18,2020-10-26,0.5660193239042961,0.5366479531600126,0.02937137074428353,0.024011954689311842,0.5507613907428379,0.4794520547945205,0.43388429752066116,0.455531453362256,0.4826254826254826,-0.027094029263226627,0.6459802538787024,0.25631144552928586
equity_rotation+flat_regime_state+futures_smallcap+rates_credit,equity_rotation|flat_regime_state|futures_smallcap|rates_credit,4,88,782,2017-07-18,2020-10-26,0.5656819988916464,0.5366479531600126,0.029034045731633817,0.03428710139023155,0.5717779437631014,0.5120772946859904,0.4380165289256198,0.47216035634743875,0.4826254826254826,-0.010465126278043857,0.6712898751733704,0.25510096004341004
breadth+flat_regime_state+futures_smallcap+technical_dynamics,breadth|flat_regime_state|futures_smallcap|technical_dynamics,4,98,782,2017-07-18,2020-10-26,0.5656579042478858,0.5366479531600126,0.029009951087873187,0.0356657313893009,0.5594294388357468,0.4668769716088328,0.6115702479338843,0.5295169946332737,0.4826254826254826,0.046891512007791125,0.5695581014729951,0.25548264528044445
futures_smallcap+technical_dynamics+volatility_options_core+volatility_options_short,futures_smallcap|technical_dynamics|volatility_options_core|volatility_options_short,4,70,786,2017-07-18,2020-10-26,0.5778072448918089,0.5495268519076608,0.028280392984148084,0.0453843196098714,0.5740642517027303,0.4722222222222222,0.5787234042553191,0.5200764818355641,0.4612159329140461,0.058860548921517986,0.6156202143950995,0.24935871435999493
calendar+futures_smallcap+macro_cross_asset,calendar|futures_smallcap|macro_cross_asset,3,46,820,2017-07-18,2020-10-26,0.5626520547945206,0.5347506849315069,0.027901369863013725,0.021880012014368077,0.5701369863013699,0.46321525885558584,0.68,0.5510534846029174,0.45,0.10105348460291735,0.5481239804241436,0.26281911598035623
calendar+futures_smallcap+rates_credit,calendar|futures_smallcap|rates_credit,3,54,824,2017-07-18,2020-10-26,0.5557290311388672,0.528178940064186,0.027550091074681204,0.06278046986604477,0.539487379651314,0.44912280701754387,0.5079365079365079,0.4767225325884544,0.4484848484848485,0.028237684103605887,0.597997138769671,0.2562385140785795
futures_smallcap+technical_dynamics+trend_direction,futures_smallcap|technical_dynamics|trend_direction,3,68,824,2017-07-18,2020-10-26,0.5555447133315986,0.528178940064186,0.02736577326741263,0.03228974702019349,0.553831641946396,0.4798206278026906,0.4246031746031746,0.45052631578947366,0.4484848484848485,0.0020414673046251774,0.657030223390276,0.26911464628187226
futures_smallcap+interaction_consensus+rates_credit+trend_direction,futures_smallcap|interaction_consensus|rates_credit|trend_direction,4,75,824,2017-07-18,2020-10-26,0.5555013444357707,0.528178940064186,0.02732240437158473,0.057147711363272805,0.5663869372885766,0.5049019607843137,0.4087301587301587,0.4517543859649123,0.4484848484848485,0.003269537480063811,0.6794871794871795,0.2531436324762154
calendar+equity_rotation+futures_core+futures_smallcap,calendar|equity_rotation|futures_core|futures_smallcap,4,58,824,2017-07-18,2020-10-26,0.5552736577326741,0.528178940064186,0.027094717668488144,0.04665042644883685,0.5524655217278168,0.47767857142857145,0.4246031746031746,0.4495798319327731,0.4484848484848485,0.0010949834479246356,0.6552631578947369,0.25547024409792185
breadth+futures_smallcap+interaction_consensus,breadth|futures_smallcap|interaction_consensus,3,56,824,2017-07-18,2020-10-26,0.5543412264723739,0.528178940064186,0.026162286408187962,0.04803715122839144,0.5546122820712984,0.46283783783783783,0.5436507936507936,0.5,0.4484848484848485,0.051515151515151514,0.6017441860465116,0.26110507022861784
breadth+futures_smallcap+technical_dynamics+trend_direction+volatility_options_short,breadth|futures_smallcap|technical_dynamics|trend_direction|volatility_options_short,5,89,824,2017-07-18,2020-10-26,0.5540376442015785,0.528178940064186,0.025858704137392552,0.024319206057438238,0.5655087171480615,0.46984126984126984,0.5873015873015873,0.5220458553791887,0.4484848484848485,0.0735610068943402,0.5949177877428998,0.2653733291877872
futures_smallcap+technical_dynamics+trend_direction+volatility_options_short,futures_smallcap|technical_dynamics|trend_direction|volatility_options_short,4,74,824,2017-07-18,2020-10-26,0.5535822707953856,0.528178940064186,0.025403330731199603,0.019862737099699428,0.5387067395264117,0.4444444444444444,0.5555555555555556,0.49382716049382713,0.4484848484848485,0.04534231200897865,0.5710014947683109,0.2665229233790972
breadth+calendar+futures_smallcap+interaction_consensus+rates_credit,breadth|calendar|futures_smallcap|interaction_consensus|rates_credit,5,81,824,2017-07-18,2020-10-26,0.553365426316246,0.528178940064186,0.025186486252059992,0.029352267866425218,0.5502211813687223,0.4721030042918455,0.4365079365079365,0.4536082474226804,0.4484848484848485,0.0051233989378319245,0.6471371504660453,0.2556541806503045
breadth+calendar+equity_rotation+flat_regime_state+futures_core+interaction_consensus+macro_cross_asset+rates_credit+technical_dynamics+trend_direction+volatility_options_core,breadth|calendar|equity_rotation|flat_regime_state|futures_core|interaction_consensus|macro_cross_asset|rates_credit|technical_dynamics|trend_direction|volatility_options_core,11,187,2875,2008-04-10,2020-10-26,0.5779688564615035,0.5530848107824211,0.024884045679082423,0.004871747862504229,0.5641510404837611,0.4891067538126362,0.5011160714285714,0.49503858875413453,0.4275184275184275,0.06752016123570703,0.6327185244587009,0.2504289346636166
equity_rotation+futures_core+futures_smallcap+trend_direction+volatility_options_short,equity_rotation|futures_core|futures_smallcap|trend_direction|volatility_options_short,5,73,824,2017-07-18,2020-10-26,0.5527582617746553,0.528178940064186,0.024579321710469282,0.016757641161933935,0.5487574811345304,0.47641509433962265,0.4007936507936508,0.4353448275862069,0.4484848484848485,-0.01314002089864158,0.6606217616580311,0.2579707149747471
equity_rotation+flat_regime_state+futures_core+futures_smallcap+volatility_options_short,equity_rotation|flat_regime_state|futures_core|futures_smallcap|volatility_options_short,5,88,782,2017-07-18,2020-10-26,0.5610558272895936,0.5366479531600126,0.02440787412958101,0.058224968685018225,0.5552369708213863,0.5058823529411764,0.35537190082644626,0.4174757281553398,0.4826254826254826,-0.06514975447014282,0.683377308707124,0.25514453148434146
equity_rotation+futures_smallcap+rates_credit+trend_direction,equity_rotation|futures_smallcap|rates_credit|trend_direction,4,73,824,2017-07-18,2020-10-26,0.5524980483996877,0.528178940064186,0.02431910833550177,0.042849499111055,0.5597840228987769,0.48672566371681414,0.4365079365079365,0.4602510460251046,0.4484848484848485,0.011766197540256096,0.6596306068601583,0.25510045887523713
breadth+flat_regime_state+futures_smallcap+technical_dynamics+trend_direction,breadth|flat_regime_state|futures_smallcap|technical_dynamics|trend_direction,5,116,782,2017-07-18,2020-10-26,0.5608751174613884,0.5366479531600126,0.024227164301375836,0.05889368888572134,0.5543334216803605,0.4597014925373134,0.6363636363636364,0.5337954939341422,0.4826254826254826,0.05117001130865956,0.5463743676222597,0.26964836675175585
equity_rotation+futures_core+futures_smallcap+interaction_consensus+volatility_options_short,equity_rotation|futures_core|futures_smallcap|interaction_consensus|volatility_options_short,5,67,824,2017-07-18,2020-10-26,0.5515764593633447,0.528178940064186,0.023397519299158676,0.02389977309857967,0.5521402550091075,0.4918918918918919,0.3611111111111111,0.41647597254004576,0.4484848484848485,-0.03200887594480273,0.6808510638297872,0.26547808990599214
futures_core+futures_smallcap+technical_dynamics,futures_core|futures_smallcap|technical_dynamics,3,60,824,2017-07-18,2020-10-26,0.5511969815248504,0.528178940064186,0.02301804146066444,0.019029771887342516,0.544463960447567,0.4853801169590643,0.32936507936507936,0.39243498817966904,0.4484848484848485,-0.056049860305179444,0.6838868388683886,0.25621855963847995
